Time,Time Code,Country Name,Country Code,GDP,"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)","Unemployment, total (% of total labor force) (national estimate)",Real interest rate (%),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),"Official exchange rate (LCU per US$, period average)","Foreign direct investment, net inflows (% of GDP)",GDP growth (annual %),GDP per capita (current US$),Consumer price index (2010 = 100)
2015,YR2015,China,CHN,11061572618594.8,1.43702380935655,-0.00294409357314862,..,4.35307225209355,21.3540798825634,18.1100894525359,6.22748867298455,2.1921777308569,7.0413288794755,8016.44559491162,114.922122819496
2015,YR2015,Colombia,COL,293492370228.844,4.9898311584953,2.44932842052003,8.572,8.78547373201402,15.6502115094968,22.7105526089485,2741.78166666667,3.95939854812865,2.95590137527523,6228.65162186089,117.588375602645
2015,YR2015,Comoros,COM,966029599.801228,..,-0.522859922969374,..,11.0807969694683,10.1361983069761,27.6687537644801,443.408773486957,0.511029839195466,1.14735076108914,1322.93677459988,..
2015,YR2015,"Congo, Dem. Rep.",COD,37917706497.1793,0.74419899478147,-1.15587859287012,..,20.7667503479097,27.7255678009169,31.6068631635076,925.984961280393,3.07434208974213,6.91616711922561,482.064568638238,130.096534344839
2015,YR2015,"Congo, Rep.",COG,12434829581.0287,3.16909796750829,-17.2539875449458,..,..,40.8570487934502,76.4636727651309,591.21169798261,34.4181572511644,0.415193061293763,2455.34791009784,116.402619073639
2015,YR2015,Costa Rica,CRI,56441920821.0806,0.801982005099623,3.95521539612993,8.415,9.88706328781856,29.9956578645001,30.7579040744168,534.565769969278,5.23639457666332,3.65208096806472,11529.9551730192,121.50440434597
2015,YR2015,Cote d'Ivoire,CIV,45815005170.815,1.25149954781477,4.77568237270827,..,0.361232955383729,27.3532437923476,25.3596209487969,591.21169798261,1.07914154747556,7.19494942728191,1941.58189772117,110.884056313105
2015,YR2015,Croatia,HRV,50857353544.2847,-0.464499004644911,0.0919067892751713,16.175,..,45.5580819824462,45.3474276774624,6.85830375,0.0652702012626994,2.52255339863314,12098.5120254631,107.372942018611
2015,YR2015,Cuba,CUB,87132800000,..,3.43904876302352,2.4,..,17.1473888133975,14.4664236659444,..,..,4.4383335888395,7683.74025365669,..
2015,YR2015,Curacao,CUW,3058779211.89831,-0.476542049801405,-0.476488482848083,11.71,..,68.4941165656232,79.8196996498168,1.79,4.78739209486991,0.45815174597594,19361.8129630226,108.083679568482
2015,YR2015,Cyprus,CYP,19842492366.5477,-2.09699769053129,-0.75404810119133,15.026,..,70.2529680368871,67.4855103391816,..,145.952088807572,3.38307971194378,23408.44140625,101.728529974231
2015,YR2015,Czechia,CZE,188033050459.881,0.309364548494975,0.992276160290274,5.048,3.25792951109147,80.5587781149995,74.6168853659096,24.59875,0.904050969999615,5.38838083815307,17829.6983223668,107.480738218957
