Thời gian,FDI,FDI đăng kí (lũy kế năm),FDI giải ngân (lũy kế năm),Thương mại (lũy kế năm),Xuất khẩu  (lũy kế năm),Nhập khẩu  (lũy kế năm),Cung tiền & tín dụng,Tăng trưởng tín dụng,Nông nghiệp,Thương mại,Công nghiệp,Xây dựng,Cung tiền M2,Tài khóa,Tổng thu,Nội địa,Tổng chi,Chi đầu tư phát triển,Chi thường xuyên,Chỉ số giá,Lạm phát cơ bản,Lạm phát,Thực phẩm,Nhà ở và VLXD,Y tế,Vận tải,Chỉ số PMI,Tăng trưởng GDP thực tế
-,-,% YoY,% YoY,-,% YoY,% YoY,-,% YoY,% YoY,% YoY,% YoY,% YoY,% YoY,-,% YoY,% YoY,% YoY,% YoY,% YoY,-,% YoY,% YoY,% YoY,% YoY,% YoY,% YoY,-,% YoY
T5 2022,-,-16.3,7.8,-,16.7,15.3,-,17,11.5,20.7,14.6,7.5,10.3,-,21.5,18.1,2.7,12.1,1.7,-,1.6,2.9,0.1,2.2,0,18.4,54.7,7.7
T6 2022,-,-8.1,0,-,17.3,15.5,-,16.8,12.3,19.8,12.9,9.7,10,-,21.5,18.1,2.7,12.1,1.7,-,2,3.4,1.3,1.5,0,21.4,54,7.7
T7 2022,-,-7.7,10.2,-,16.6,14,-,16.4,11.8,19,12.1,10,9,-,23.2,19.9,5.3,15.8,4.6,-,2.6,3.1,1.9,1.1,0,15.2,51.2,13.7
T8 2022,-,-12.2,10.5,-,17.3,13.6,-,16.3,12,18.5,10.4,11,7.9,-,23.2,19.9,5.3,15.8,4.6,-,3.1,2.9,2.3,1.4,0,8.9,52.7,13.7
T9 2022,-,-15.6,16,-,17.2,12.8,-,16.9,11.6,19.3,9.6,12.8,7.4,-,23.2,19.9,5.3,15.8,4.6,-,3.8,3.9,2.8,4.4,0.1,6.7,52.5,13.7
T10 2022,-,-5.4,15.2,-,16,12.2,-,16.6,10.6,18.8,9,14,7,-,33,27.4,19.1,35.4,15.5,-,4.5,4.3,5,5.4,0.1,1.8,50.6,5.9
T11 2022,-,-5.1,15.1,-,13.4,10.1,-,14.8,9.3,16.2,7.1,12,6.4,-,33,27.4,19.1,35.4,15.5,-,4.8,4.4,5.1,6,0.1,0.9,47.4,5.9
T12 2022,-,-11,13.5,-,10.6,8.4,-,14.2,7.9,15.8,6.1,11.9,6.2,-,33,27.4,19.1,35.4,15.5,-,5,4.6,5,7.1,0.1,-0.2,46.4,5.9
T1 2023,-,-19.5,-16.1,-,-23.5,-22.1,-,11.5,6.7,13,3.6,9.4,4.3,-,6.7,9.4,3.4,8.9,0.9,-,5.2,4.9,6.1,6.9,0.1,0.1,47.4,3.3
T2 2023,-,-38.1,-4.9,-,-9,-16.2,-,12.2,6.9,13.9,4.7,13.9,4.6,-,6.7,9.4,3.4,8.9,0.9,-,5,4.3,3.8,7.9,0.1,-0.2,51.2,3.3
T3 2023,-,-38.8,-2.7,-,-11,-15,-,10.5,5.2,13.3,3.9,12.5,4,-,6.7,9.4,3.4,8.9,0.9,-,4.9,3.4,3.3,6.7,0.1,-4.9,47.7,3.3
T4 2023,-,-18.5,-1.2,-,-17.1,-20.5,-,9.7,4.1,12.5,2.9,12.8,4.3,-,-7,-3.9,12.8,43.3,5.5,-,4.6,2.8,2.9,5.2,0.1,-3.9,46.7,4.1
T5 2023,-,-7.3,-0.8,-,-12.6,-17.9,-,9.1,3.1,12.3,2.5,13.1,4.8,-,-7,-3.9,12.8,43.3,5.5,-,4.5,2.4,2.9,6.4,0.1,-8.9,45.3,4.1
T6 2023,-,-5.5,0.5,-,-11.5,-18.1,-,9.3,2.9,12.5,2.7,11.8,6.1,-,-7,-3.9,12.8,43.3,5.5,-,4.3,2,2.6,6.5,0.1,-12,46.2,4.1
T7 2023,-,4.5,0.8,-,-10.3,-17.4,-,9,2.8,12.7,2.4,11.7,2.9,-,-7.8,-3.1,14.1,43.5,5.7,-,4.1,2.1,3.3,6.6,0.1,-5.7,48.7,5.3
T8 2023,-,8.2,1.3,-,-7.9,-8.3,-,9.6,2.6,13.6,3.2,11.2,4,-,-7.8,-3.1,14.1,43.5,5.7,-,4,3,0.9,7.1,0.1,-0.3,50.5,5.3
T9 2023,-,7.7,3.2,-,-8.2,-13.8,-,10,3,14.4,4.9,9.2,5.6,-,-7.8,-3.1,14.1,43.5,5.7,-,3.8,3.7,1.2,7.3,0.2,3.2,49.7,5.3
T10 2023,-,14.7,2.4,-,-7.1,-12.3,-,9.88,3.56,15.28,6.51,8.85,6,-,-5.4,-0.3,-14.9,-12.6,-13.5,-,3.4,3.6,0.9,6.9,0.2,3.9,49.6,6.7
T11 2023,-,14.8,2.9,-,-5.9,-10.7,-,11.3,5.4,17.72,8.36,8.96,7.9,-,-5.4,-0.3,-14.9,-12.6,-13.5,-,3.2,3.5,0.9,5.9,4,1.6,47.3,6.7
T12 2023,-,32.1,3.5,-,-4.4,-8.9,-,13.78,6.97,19.84,12.29,6.23,12.5,-,-5.4,-0.3,-14.9,-12.6,-13.5,-,3,3.6,0.7,5.7,6.9,2.6,48.9,6.7
